// Screen #1
WavesBlock,1
TurtleFly2,3
BridgeLeft,1
BridgeSign,1
BridgeMidd,1
BridgeSign,1

// Screen #2
TurtleFly1,1
TurtleFly2,6
TurtleFly1,1

// Screen #3
WavesBlock,8

// Screen #4
TurtleFly3,1
TurtleFly4,6
TurtleFly3,1

// Screen #5
WavesBlock,8

// Screen #6
TurtleSea2,1
TurtleSea1,6
TurtleSea2,1

// Screen #7
WavesBlock,8

// Screen #8
TurtleFly1,1
TurtleFly2,6
TurtleFly3,1

// Screen #9
WavesBlock,8

// Screen #10
TurtleFly2,1
TurtleFly3,6
TurtleFly2,1

// Screen #11
WavesBlock,8

// Screen #12
TurtleFly3,1
TurtleFly4,6
TurtleFly3,1

// Screen #13
WavesBlock,8

// Screen #14
TurtleFly3,1
TurtleFly2,6
TurtleFly1,1

// Screen #15
WavesBlock,8

// Screen #16
WavesBlock,8
