// Screen #1
BridgeMidd,5
BridgeSign,2
BridgeRght,1

// Screen #2
WavesBlock,8

// Screen #3
WavesBlock,8

// Screen #4
WavesBlock,8

// Screen #5
WavesBlock,1
TurtleSea2,7

// Screen #6
WavesBlock,1
BridgeLeft,1
BridgeMidd,2
TurtleFly2,4

// Screen #7
TurtleFly2,1
BridgeMidd,3
TurtleFly2,4

// Screen #8
TurtleFly2,1
BridgeMidd,3
TurtleFly2,4

// Screen #9
TurtleFly2,1
BridgeMidd,2
BridgeRght,1
WavesBlock,4

// Screen #10
WavesBlock,8

// Screen #11
WavesBlock,8

// Screen #12
WavesBlock,4
TurtleFly2,2
TurtleFly1,2

// Screen #13
TurtleSea1,8

// Screen #14
WavesBlock,8

// Screen #15
WavesBlock,8

// Screen #16
WavesBlock,8
