,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,X,X,X,X,,,,,,,,,,,,,,,,,
,,,,,,,,X,X,X,Y,Y,Y,Y,X,X,X,,,,,,,,,,,,,,
,,,,,,,X,X,Y,Y,Y,Y,Y,Y,X,G,X,X,,,,,,,,,,,,,
,,,,,,X,X,X,X,Y,Y,Y,Y,Y,X,G,G,X,X,,,,,,,,,,,,
,,,,,X,X,G,G,X,Y,Y,Y,X,X,G,G,G,X,X,,,,,,,,,,,,
,,,,,X,G,G,G,G,X,X,X,G,G,G,X,X,Y,X,X,,,,,,,,,,,
,,,,X,X,X,G,G,G,G,G,G,G,G,G,X,Y,Y,Y,X,,,,,,,,,,,
,,,,X,Y,Y,X,G,G,G,X,X,G,G,G,X,Y,Y,Y,X,X,,,,,,,,,,
,,,,X,Y,Y,X,G,G,X,Y,Y,X,G,G,X,X,Y,Y,Y,X,X,,X,X,X,X,X,X,X,
,,,,X,Y,Y,X,G,X,Y,Y,Y,Y,X,G,G,X,Y,X,X,X,G,X,X,,,,,,X,X
,,,,X,Y,Y,X,G,X,Y,Y,Y,Y,X,G,G,G,X,X,G,G,X,X,,,,,X,,,X
,,,X,X,Y,X,X,G,X,Y,Y,Y,Y,X,G,G,G,G,G,G,X,X,,,,,X,X,,,X
,,X,X,X,X,X,G,G,X,X,Y,Y,X,X,G,G,G,G,G,X,X,,,,,,,,,,X
,,X,G,G,G,G,G,G,G,X,X,X,G,G,G,G,G,G,X,X,,,,,,,,,,,X
,,X,X,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,X,,,,,,,,,,X,X,X
X,X,X,X,X,X,G,G,G,G,G,G,G,G,G,G,G,X,X,X,,,,,,,,X,X,X,,
X,X,,,,X,X,X,X,G,G,G,G,G,G,G,X,X,X,,,,,,X,X,,,X,,,
,X,X,,X,X,,,X,X,X,X,X,X,X,X,X,X,,,,X,,X,X,X,X,X,X,,,
,,X,X,X,,,,,X,X,,,,,,,X,,,,X,X,X,,,,,,,,
,,X,X,,,,,,,X,,,,,,X,X,,,,,,X,X,,,,,,,
,X,X,,,,,,,,X,X,X,X,X,X,X,X,,,,,,,,X,,,,,,
,X,,,,,,,,X,,,,,,,,X,,,,,,,,X,,,,,,
,X,X,,,,,X,X,,,,,,,,,,X,X,,,,X,X,,,,,,,
,,X,X,X,X,X,X,,,,,,,,,,,,,X,X,X,X,,,,,,,,
