// Screen #1
WavesBlock,1
TurtleFly2,3
BridgeLeft,1
BridgeSign,1
BridgeMidd,1
BridgeSign,1

// Screen #2
TurtleFly1,1
TurtleFly2,5
TurtleFly1,1
TurtleFly2,1

// Screen #3
TurtleFly4,5
TurtleFly3,1
TurtleSea2,1
TurtleSea1,1

// Screen #4
TurtleSea1,4
TurtleSea2,1
TurtleFly1,1
TurtleFly2,2

// Screen #5
TurtleFly2,3
TurtleFly3,1
TurtleFly2,1
TurtleFly3,3

// Screen #6
TurtleFly3,2
TurtleFly4,1
TurtleFly3,1
TurtleFly4,4

// Screen #7
TurtleFly3,1
TurtleFly2,1
TurtleFly3,4
TurtleFly4,1
WavesBlock,1

// Screen #8
IslandMidd,5
,1
IslandMidd,1
IslandRght,1
