// Screen #1
WavesBlock,1
IslandLeft,1
IslandMidd,3
IslandSign,1
IslandMidd,1
IslandSign,1

// Screen #2
IslandMidd,4
IslandRght,1
WavesBlock,3

// Screen #3
WavesBlock,1
TurtleFly1,3
TurtleSea1,1
TurtleFly1,2
TurtleSea1,1

// Screen #4
TurtleFly1,3
WavesBlock,4
IslandLeft,1

// Screen #5
IslandMidd,3
TurtleSea2,1
IslandMidd,2
TurtleSea2,1
IslandMidd,1

// Screen #6
IslandMidd,1
IslandRght,1
WavesBlock,6

// Screen #7
WavesBlock,2
TurtleFly3,4
WavesBlock,1
TurtleFly2,1

// Screen #8
BridgeMidd,5
,1
BridgeMidd,2
