SampleTest01,45,Riff__Title__Screen__05_wav_pcmenc,16321
SampleTest01,58,Riff__Splash__Screen__08_wav_pcmenc,16015
SampleTest01,54,Riff__Splash__Screen__04_wav_pcmenc,15921
SampleTest01,43,Riff__Title__Screen__03_wav_pcmenc,15900
SampleTest01,52,Riff__Splash__Screen__02_wav_pcmenc,15803
SampleTest01,51,Riff__Splash__Screen__01_wav_pcmenc,15607
SampleTest01,41,Riff__Title__Screen__01_wav_pcmenc,15526
SampleTest01,42,Riff__Title__Screen__02_wav_pcmenc,15438
SampleTest01,47,Riff__Title__Screen__07_wav_pcmenc,15438
SampleTest01,48,Riff__Title__Screen__08_wav_pcmenc,15427
SampleTest01,57,Riff__Splash__Screen__07_wav_pcmenc,15338
SampleTest01,44,Riff__Title__Screen__04_wav_pcmenc,15117
SampleTest01,55,Riff__Splash__Screen__05_wav_pcmenc,15093
SampleTest01,56,Riff__Splash__Screen__06_wav_pcmenc,15069
SampleTest01,46,Riff__Title__Screen__06_wav_pcmenc,14999
SampleTest01,59,Riff__Splash__Screen__09_wav_pcmenc,14724
SampleTest01,53,Riff__Splash__Screen__03_wav_pcmenc,14680
SampleTest01,49,Riff__Title__Screen__09_wav_pcmenc,13802
