14,Riff_Intro_Ultimate_03_wav_pcmenc,15793
2,Riff_Intro_ACDC_01_wav_pcmenc,15162
5,Riff_Intro_Hulk_02_wav_pcmenc,15117
6,Riff_Intro_Hulk_03_wav_pcmenc,14876
4,Riff_Intro_Hulk_01_wav_pcmenc,14663
13,Riff_Intro_Ultimate_02_wav_pcmenc,14237
12,Riff_Intro_Ultimate_01_wav_pcmenc,13822
10,Riff_Intro_Kiss_03_wav_pcmenc,13037
8,Riff_Intro_Kiss_01_wav_pcmenc,13005
15,Riff_Intro_Ultimate_04_wav_pcmenc,12170
9,Riff_Intro_Kiss_02_wav_pcmenc,11378
11,Riff_Intro_Kiss_04_wav_pcmenc,10270
3,Riff_Intro_ACDC_02_wav_pcmenc,8366
7,Riff_Intro_Hulk_04_wav_pcmenc,1697
