9,Riff_Sound_GnRSucked_01_wav_pcmenc,16051
14,Riff_Sound_Excellent40_01_wav_pcmenc,15609
8,Riff_Sound_Youza40_01_wav_pcmenc,15524
10,Riff_Sound_GnRSucked_02_wav_pcmenc,15289
5,Riff_Sound_VHdoctor_02_wav_pcmenc,15088
7,Riff_Sound_VHshriek_01_wav_pcmenc,15027
15,Riff_Sound_Excellent50_01_wav_pcmenc,14957
6,Riff_Sound_VHdoctor_03_wav_pcmenc,14423
4,Riff_Sound_VHdoctor_01_wav_pcmenc,14291
2,Riff_Sound_VHjump02_01_wav_pcmenc,14136
12,Riff_Sound_Excellent20_01_wav_pcmenc,9341
11,Riff_Sound_GnRSucked_03_wav_pcmenc,8273
13,Riff_Sound_Excellent30_01_wav_pcmenc,7093
3,Riff_Sound_VHjump02_02_wav_pcmenc,5211
