// Screen #1
WavesBlock,1
IslandLeft,1
IslandMidd,3
IslandSign,2
IslandRght,1

// Screen #2
WavesBlock,1
IslandLeft,1
IslandMidd,5
IslandRght,1

// Screen #3
WavesBlock,1
IslandLeft,1
IslandMidd,6

// Screen #4
IslandRght,1
TurtleSea2,1
TurtleFly1,1
TurtleFly2,1
TurtleFly3,1
WavesBlock,1
TurtleSea2,2

// Screen #5
TurtleSea2,2
TurtleFly1,1
TurtleFly2,1
TurtleFly3,1
WavesBlock,1
TurtleSea1,2

// Screen #6
TurtleSea1,2
TurtleSea2,1
TurtleFly1,1
TurtleFly2,1
TurtleFly3,1
WavesBlock,1
TurtleSea1,1

// Screen #7
TurtleSea1,3
TurtleSea2,1
TurtleFly1,1
TurtleFly2,1
TurtleFly3,1
WavesBlock,1

// Screen #8
TurtleFly1,3
TurtleFly2,3
WavesBlock,1
BridgeLeft,1
