// AA-dropsd01  #Check # 1	bridge signs 1x miss insane
WavesBlock,1
TurtleFly2,3
WavesBlock,1
BridgeLeft,1
BridgeSign,1
BridgeMidd,1

WavesBlock,8

// BB-bridge02	#Check 5	bridge 2x sign rght
BridgeMidd,5
BridgeSign,2
WavesBlock,1

WavesBlock,8

// CC-dropsd01  # Check # 5	bridge signs 1x miss harder
WavesBlock,1
TurtleFly2,2
WavesBlock,1
BridgeLeft,1
BridgeSign,3

WavesBlock,8

// DD-mixerd01	#Check # 7	turtle 4x sign midd
WavesBlock,1
TurtleFly2,3
BridgeLeft,1
BridgeSign,1
BridgeMidd,1
BridgeSign,1
