// Screen #1
IslandMidd,1
TurtleFly3,1
TurtleFly4,6

// Screen #2
WavesBlock,1
TurtleFly4,3
TurtleFly3,1
WavesBlock,2
TurtleSea1,1

// Screen #3
TurtleSea1,3
TurtleFly2,1
TurtleSea1,3
WavesBlock,1

// Screen #4
WavesBlock,1
TurtleFly1,3
WavesBlock,2
TurtleFly1,2

// Screen #5
WavesBlock,1
TurtleFly2,2
WavesBlock,1
TurtleFly3,2
TurtleFly4,1
TurtleFly3,1

// Screen #6
WavesBlock,1
TurtleFly2,2
WavesBlock,1
TurtleFly2,2
WavesBlock,1
TurtleFly1,1

// Screen #7
TurtleFly1,1
WavesBlock,1
TurtleFly1,2
WavesBlock,1
TurtleSea2,1
TurtleSea1,1
TurtleSea2,1

// Screen #8
WavesBlock,1
IslandLeft,1
IslandMidd,6
